dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.559037,218.410358,0.003939,0.393939,19.696970,984.848485,6.281689
0.020000,22.557228,218.410360,0.005749,0.090472,-15.173387,-1743.517820,6.281810
0.020000,22.553157,218.410365,0.009820,0.203566,5.654736,1041.406160,6.282081
0.020000,22.545918,218.410371,0.017058,0.361913,7.917345,113.130450,6.282564
0.020000,22.551950,218.410375,0.023090,0.301574,-3.016979,-546.716212,0.000133
0.020000,22.677479,218.410460,0.148619,6.276443,298.743455,15088.021692,0.001219
0.020000,22.848312,218.410795,0.319453,8.541701,113.262902,-9274.027665,0.002699
0.020000,23.071398,218.411613,0.542540,11.154369,130.633398,868.524787,0.004634
0.020000,23.353714,218.413267,0.824861,14.116043,148.083696,872.514929,0.007086
0.020000,23.702153,218.416264,1.173313,17.422584,165.327072,862.168800,0.010119
0.020000,24.123625,218.421304,1.594815,21.075110,182.626267,864.959739,0.013795
0.020000,24.621569,218.429258,2.092823,24.900398,191.264439,431.908594,0.018151
0.020000,25.195869,218.441129,2.667246,28.721134,191.036763,-11.383796,0.023189
0.020000,25.846405,218.458080,3.318002,32.537815,190.834075,-10.134377,0.028916
0.020000,26.573054,218.481432,4.045026,36.351203,190.669403,-8.233602,0.035337
0.020000,27.372181,218.512517,4.844757,39.986552,181.767454,-445.097477,0.042426
0.020000,28.236659,218.552547,5.710162,43.270248,164.184774,-879.133999,0.050126
0.020000,29.159379,218.602654,6.634241,46.203971,146.686151,-874.931156,0.058379
0.020000,30.133225,218.663842,7.610008,48.788318,129.217388,-873.438142,0.067125
0.020000,31.151099,218.736961,8.630504,51.024813,111.824704,-869.634201,0.076304
0.020000,32.205909,218.822669,9.688791,52.914363,94.477520,-867.359179,0.085852
0.020000,33.290581,218.921404,10.777948,54.457824,77.173061,-865.222981,0.095706
0.020000,34.398059,219.033363,11.891070,55.656139,59.915760,-862.865044,0.105801
0.020000,35.521321,219.158484,13.021279,56.510446,42.715354,-860.020270,0.116069
0.020000,36.653390,219.296430,14.161722,57.022144,25.584903,-856.522566,0.126443
0.020000,37.787309,219.446578,15.305539,57.190831,8.434310,-857.529665,0.136855
0.020000,38.919588,219.608522,16.449340,57.190064,-0.038323,-423.631652,0.147268
0.020000,40.050187,219.782256,17.593210,57.193471,0.170332,10.432745,0.157676
0.020000,41.179067,219.967768,18.737231,57.201077,0.380295,10.498176,0.168075
0.020000,42.306192,220.165041,19.881489,57.212900,0.591145,10.542493,0.178457
0.020000,43.431525,220.374051,21.026068,57.228948,0.802436,10.564555,0.188818
0.020000,44.555034,220.594774,22.171053,57.249222,1.013705,10.563432,0.199152
0.020000,45.676684,220.827177,23.316527,57.273712,1.224473,10.538413,0.209453
0.020000,46.796447,221.071222,24.462575,57.302397,1.434253,10.489018,0.219716
0.020000,47.914296,221.326871,25.609285,57.335495,1.654900,11.032350,0.229935
0.020000,49.030203,221.594075,26.756736,57.372576,1.854041,9.957025,0.240105
0.020000,50.144138,221.872782,27.905009,57.413640,2.053188,9.957337,0.250220
0.020000,51.256078,222.162938,29.054183,57.458714,2.253700,10.025644,0.260275
0.020000,52.366001,222.464480,30.204338,57.507730,2.450845,9.857250,0.270264
0.020000,53.473885,222.777343,31.355550,57.560614,2.644171,9.666261,0.280182
0.020000,54.579715,223.101458,32.507900,57.617516,2.845100,10.046490,0.290025
0.020000,55.683473,223.436749,33.661461,57.678053,3.026832,9.086567,0.299788
0.020000,56.785140,223.783137,34.816301,57.741961,3.195442,8.430530,0.309465
0.020000,57.884701,224.140537,35.972488,57.809346,3.369246,8.690175,0.319052
0.020000,58.982145,224.508862,37.130092,57.880223,3.543819,8.728670,0.328545
0.020000,60.077466,224.888020,38.289181,57.954467,3.712241,8.421061,0.337939
0.020000,61.170648,225.277912,39.449812,58.031531,3.853165,7.046246,0.347230
0.020000,62.261685,225.678438,40.612044,58.111583,4.002599,7.471659,0.356414
0.020000,63.350576,226.089495,41.775938,58.194734,4.157573,7.748718,0.365487
0.020000,64.437314,226.510972,42.941547,58.280412,4.283865,6.314605,0.374446
0.020000,65.521896,226.942758,44.108918,58.368576,4.408200,6.216735,0.383288
0.020000,66.604324,227.384737,45.278104,58.459308,4.536613,6.420669,0.392009
0.020000,67.684601,227.836790,46.449151,58.552327,4.650979,5.718268,0.400605
0.020000,68.762728,228.298793,47.622098,58.647362,4.751718,5.036954,0.409075
0.020000,69.838712,228.770623,48.796988,58.744498,4.856832,5.255710,0.417416
0.020000,70.912564,229.252150,49.973859,58.843534,4.951772,4.746985,0.425624
0.020000,71.984289,229.743242,51.152743,58.944199,5.033260,4.074419,0.433698
0.020000,73.053903,230.243767,52.333673,59.046535,5.116800,4.176989,0.441636
0.020000,74.121418,230.753587,53.516680,59.150348,5.190666,3.693311,0.449435
0.020000,75.186851,231.272563,54.701789,59.255452,5.255179,3.225635,0.457094
0.020000,76.250220,231.800556,55.889026,59.361818,5.318331,3.157621,0.464612
0.020000,77.311546,232.337421,57.078411,59.469274,5.372781,2.722491,0.471986
0.020000,78.370852,232.883015,58.269965,59.577707,5.421629,2.442395,0.479215
0.020000,79.428162,233.437191,59.463706,59.687020,5.465674,2.202276,0.486299
0.020000,80.483504,233.999801,60.659648,59.797096,5.503809,1.906760,0.493236
0.020000,81.536908,234.570697,61.857805,59.907858,5.538076,1.713312,0.500026
0.020000,82.588404,235.149727,63.058188,60.019152,5.564724,1.332402,0.506667
0.020000,83.638026,235.736740,64.260807,60.130949,5.589835,1.255550,0.513158
