dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.514160,188.410391,0.003939,0.393939,19.696970,984.848485,6.281689
0.020000,22.515970,188.410389,0.005749,0.090472,-15.173387,-1743.517820,6.281810
0.020000,22.520041,188.410384,0.009820,0.203566,5.654736,1041.406160,6.282081
0.020000,22.527279,188.410377,0.017058,0.361913,7.917345,113.130450,6.282564
0.020000,22.555934,188.410376,0.045713,1.432720,53.540330,2281.149250,0.000133
0.020000,22.714054,188.410483,0.203833,7.906010,323.664498,13506.208376,0.001219
0.020000,22.929282,188.410904,0.419062,10.761453,142.772144,-9044.617701,0.002699
0.020000,23.210413,188.411935,0.700194,14.056611,164.757892,1099.287388,0.004634
0.020000,23.566298,188.414020,1.056085,17.794546,186.896777,1106.944243,0.007086
0.020000,24.005708,188.417800,1.495512,21.971344,208.839889,1097.155606,0.010119
0.020000,24.537469,188.424158,2.027311,26.589957,230.930633,1104.537238,0.013795
0.020000,25.166058,188.434199,2.655980,31.433424,242.173367,562.136683,0.018151
0.020000,25.891484,188.449195,3.381561,36.279066,242.282100,5.436661,0.023189
0.020000,26.713769,188.470622,4.204125,41.128188,242.456119,8.700934,0.028916
0.020000,27.632938,188.500160,5.123768,45.982176,242.699376,12.162836,0.035337
0.020000,28.644570,188.539512,6.136165,50.619853,231.883866,-540.775490,0.042426
0.020000,29.739801,188.590228,7.232570,54.820237,210.019205,-1093.233063,0.050126
0.020000,30.909745,188.653760,8.404239,58.583424,188.159334,-1092.993524,0.058379
0.020000,32.145465,188.731403,9.642395,61.907829,166.220257,-1096.953863,0.067125
0.020000,33.437992,188.824253,10.938252,64.792856,144.251336,-1098.446030,0.076304
0.020000,34.778316,188.933160,12.282994,67.237074,122.210935,-1102.020067,0.085852
0.020000,36.157395,189.058695,13.667775,69.239055,100.099021,-1105.595701,0.095706
0.020000,37.566168,189.201114,15.083728,70.797674,77.930950,-1108.403543,0.105801
0.020000,38.995575,189.360337,16.521976,71.912366,55.734616,-1109.816701,0.116069
0.020000,40.436582,189.535929,17.973642,72.583310,33.547210,-1109.370305,0.126443
0.020000,41.880159,189.727079,19.429820,72.808884,11.278659,-1113.427552,0.136855
0.020000,43.321679,189.933253,20.886009,72.809479,0.029768,-562.444562,0.147268
0.020000,44.760906,190.154413,22.342128,72.805968,-0.175545,-10.265616,0.157676
0.020000,46.197602,190.390508,23.798094,72.798298,-0.383489,-10.397224,0.168075
0.020000,47.631533,190.641478,25.253823,72.786431,-0.593356,-10.493329,0.178457
